2026-07-23 12:01:09,015 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:01:09,042 | INFO     | ticket.py | get_customer_tickets | Line 109 | Admin get customer tickets page arrived
2026-07-23 12:04:26,518 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:04:26,530 | INFO     | ticket.py | create_ticket | Line 148 | Admin create ticket page arrived
2026-07-23 12:04:26,620 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:04:26,630 | INFO     | ticket.py | get_customer_tickets | Line 109 | Admin get customer tickets page arrived
2026-07-23 12:04:52,502 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:04:52,511 | INFO     | ticket.py | get_customer_tickets | Line 109 | Admin get customer tickets page arrived
2026-07-23 12:08:45,743 | INFO     | auth.py | login | Line 46 | Login post page arrived
2026-07-23 12:08:45,866 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:08:45,876 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:10:43,970 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:10:43,981 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:10:55,959 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:10:55,971 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:11:04,051 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:11:04,060 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:11:20,320 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:11:20,329 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:12:03,478 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:12:03,488 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:12:20,753 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:12:20,766 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:12:30,016 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:12:30,066 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:12:41,638 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:12:41,647 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:13:00,568 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:13:00,577 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:13:11,762 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:13:11,769 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:13:55,547 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:13:55,558 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:14:13,257 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:14:13,268 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:14:22,001 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:14:22,012 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:14:32,407 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:14:32,416 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:14:41,316 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:14:41,325 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:14:53,095 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:14:53,103 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:15:08,962 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:15:08,970 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:15:21,565 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:15:21,574 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:15:45,524 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:15:45,536 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:15:57,366 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:15:57,379 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:16:22,801 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:16:22,814 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:16:30,396 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:16:30,408 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:17:21,560 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:17:21,568 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:18:39,135 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:18:39,145 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:18:51,556 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:18:51,568 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
2026-07-23 12:19:20,288 | INFO     | admin.py | get_all_employees | Line 32 | Admin get all employees  page arrived
2026-07-23 12:19:20,299 | INFO     | admin.py | get_all_teams | Line 48 | Admin get all teams  page arrived
